track_uri,track_name,duration_ms,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,artist
spotify:track:047fCsbO4NdmwCBn8pcUXl,Marvins Room,347227,0.492,0.26,9,-17.341,0.0921,0.646,0.00178,0.0705,0.312,111.519,Drake
spotify:track:2Gnsof1hvZzjE1xdLRpjtf,Over My Dead Body,272573,0.489,0.57,1,-10.291,0.306,0.759,2.1e-06,0.179,0.584,185.516,Drake
spotify:track:6Z01gUquJsjJC67uNWm6P0,Shot For Me,224720,0.566,0.465,2,-11.714,0.235,0.0555,0.0,0.567,0.177,143.015,Drake
spotify:track:2KvHC9z14GSl4YpkNMX384,Do Not Disturb,283551,0.618,0.693,7,-5.943,0.45,0.246,0.0,0.112,0.454,170.982,Drake
spotify:track:4wVOKKEHUJxHCFFNUWDn0B,Chicago Freestyle (feat. Giveon),220488,0.735,0.449,10,-7.507,0.347,0.629,0.0,0.113,0.0397,122.947,Drake
spotify:track:7JXZq0JgG2zTrSOAgY8VMC,Jungle,320400,0.697,0.235,7,-8.651,0.0534,0.62,0.000144,0.107,0.378,99.947,Drake
spotify:track:0w1ZtnzQmtmuuoKxHT0pLL,Summer Games,247893,0.776,0.482,1,-11.268,0.0356,0.481,0.0457,0.11,0.128,136.015,Drake
spotify:track:0GaBIpyHvytM1UBYmqXu08,From Time,322160,0.739,0.491,1,-9.726,0.413,0.626,0.0,0.126,0.448,94.391,Drake
spotify:track:124NFj84ppZ5pAxTuVQYCQ,Take Care,277387,0.629,0.515,0,-10.358,0.265,0.0267,1.22e-05,0.0888,0.299,121.845,Drake
spotify:track:6UgxOrbHWJeqHvh0ost7Aa,Too Much,261853,0.681,0.569,6,-5.859,0.546,0.173,0.0,0.18,0.147,140.532,Drake
spotify:track:0Tacxc5lDJ8LwiO1pWNSl8,The Motion,240957,0.631,0.788,4,-7.142,0.102,0.371,0.000317,0.108,0.544,157.769,Drake
spotify:track:3sMC6vfTTSa0mMAPTwzDVD,I Get Lonely,253562,0.477,0.501,11,-9.178,0.0398,0.706,5.61e-06,0.0953,0.689,81.376,Drake
